"ShareName"	"Owners"
"\\itofs1\Admin"	"POWERENG\FS-ITOFS1-Admin-Share-FC, POWERENG\FS-ITOFS1-Admin-Share-RW"
"\\itofs1\Facilities"	"POWERENG\FS-ITOFS1-Facilities-Share-FC, POWERENG\FS-ITOFS1-Facilities-Share-RW"
"\\itofs1\HHMI"	"POWERENG\FS-ITOFS1-HHMI-Share-FC, POWERENG\FS-ITOFS1-HHMI-Share-RW"
"\\itofs1\Shares$"	"Everyone"
"\\itofs1\Substation"	"POWERENG\FS-ITOFS1-Substation-Share-FC, POWERENG\FS-ITOFS1-Substation-Share-RW"
"\\itofs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
