"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\ALL DRAWINGS- FULL SIZE.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\B1103_Rplc Pad Mntd Switches_B1102H Ph 6 Final DWGS 17Jan2017 - Signed.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\Connect Chillers B1101 RFI Response.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\MM-1.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\MM-2.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\Parallelling Switch Gear Panel.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\Ph 4_Chill Water Quick Connect Size BOD_RE_ BLDG 1102 PH4_ Quick Connect Question.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\Ph 4_Chill Water Quick Connect Size_RFI-C005 Quick Connect (E) POC Size_AMC 005-Govt Resp.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\myokota\MAKNAK\B1101H Hickam\Amendment 1\RFP N6247815R4030 Amendment 0001.pdf"	"FullControl"	"Allow"	"POWERENG\myokota"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Facilities\zusers\yueda\Training\Certificate SEL SEminar 20200114.pdf"	"FullControl"	"Allow"	"POWERENG\yueda"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-FileServices-ADM"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Substation"	"FullControl"	"Allow"	"POWERENG\FS-ITOFS1-Substation-Share-FC"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Substation"	"Modify, Synchronize"	"Allow"	"POWERENG\FS-ITOFS1-Substation-Share-RW"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Substation"	"ReadAndExecute, Synchronize"	"Allow"	"POWERENG\FS-ITOFS1-Substation-Share-RO"	"ContainerInherit, ObjectInherit"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Substation\Projects\163446_uploaded to PW\DD\DWG\01_Ref\Bell & Gossett Controller.pdf"	"FullControl"	"Allow"	"POWERENG\yueda"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Substation\Projects\163446_uploaded to PW\DD\DWG\01_Ref\SQ-D MCB.pdf"	"FullControl"	"Allow"	"POWERENG\yueda"	"None"	"None"
"\\?\UNC\ITO-SMB01\Shares$\REPLICATE\Substation\Projects\163446_uploaded to PW\DD\DWG\01_Ref\SQ-D MCC.pdf"	"FullControl"	"Allow"	"POWERENG\yueda"	"None"	"None"
