"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\bilfs1\Scada"	"145002"	"740646"	"1268915264882"	"7129"	"144962806389"	"733517"	"1123952458493"	"717305"	"925371888652"	"709010"	"889889653763"	"698004"	"860202410709"	"687895"	"816987682232"	"669046"	"738845870336"	"608554"	"604529006348"	"578333"	"499290335463"	"538578"	"390309200040"	"503152"	"329067958960"
"\\bilfs1\Shares$"	"5962"	"167714"	"36436508768"	"343"	"2959695236"	"167371"	"33476813532"	"165076"	"25322786740"	"147072"	"18864069391"	"140843"	"17518387276"	"137200"	"15484461968"	"105094"	"14612716118"	"87641"	"13285908512"	"83858"	"12730748833"	"82057"	"12500726831"	"74056"	"12035735122"
"\\bilfs1\Substation"	"288406"	"3610742"	"8048532618510"	"64818"	"224127407671"	"3545924"	"7824405210839"	"3446019"	"7399464381235"	"3323460"	"6817262158393"	"3176395"	"6005825756346"	"3020055"	"5357209012374"	"2765619"	"4618521605523"	"2405547"	"3716595946892"	"1985546"	"2873456903738"	"1669849"	"2121469728533"	"1387184"	"1546323830146"
"\\bilfs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\bilfs1\Xchange"	"8"	"2"	"33367462"	"2"	"33367462"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
