"ShareName"	"Owners"
"\\bdcfs1\AppsScm_Backups"	"POWERENG\FS-BDCFS1-AppsScm_Backups-Share-FC, POWERENG\FS-BDCFS1-AppsScm_Backups-Share-RW"
"\\bdcfs1\ArcGIS_HA$"	"POWERENG\FS-BDCFS1-ArcGIS_HA-Share-FC, POWERENG\FS-BDCFS1-ArcGIS_HA-Share-RW"
"\\bdcfs1\AUS_GIS"	"POWERENG\FS-BDCFS1-AUS_GIS-Share-FC, POWERENG\FS-BDCFS1-AUS_GIS-Share-RW"
"\\bdcfs1\CAE"	"POWERENG\SRVCCAE, POWERENG\pg-CAE-Administrators, POWERENG\FS-BDCFS1-CAE-Share-FC, POWERENG\FS-BDCFS1-CAE-Share-RW"
"\\bdcfs1\CAE-Apps"	"POWERENG\Domain Admins, POWERENG\pg-S3D-Admin, POWERENG\SRVCCAE, POWERENG\pg-CAE-Administrators, POWERENG\pg-CWX-Admin"
"\\bdcfs1\CMSoftware"	"POWERENG\FS-BDCFS1-CMSoftware-Share-FC, POWERENG\pgConfigMgrSoftwareShareRW, POWERENG\FS-BDCFS1-CMSoftware-Share-RW"
"\\bdcfs1\Env_GIS"	"POWERENG\FS-BDCFS1-Env_GIS-Share-FC, POWERENG\FS-BDCFS1-Env_GIS-Share-RW"
"\\bdcfs1\Facilities"	"POWERENG\FS-ALL-Facilities-Share-FC, POWERENG\FS-ALL-Facilities-Share-RW"
"\\bdcfs1\Generation"	"POWERENG\FS-ALL-Generation-Share-FC, POWERENG\SRVCCAE, POWERENG\FS-ALL-Generation-Share-RW"
"\\bdcfs1\IEB"	"POWERENG\FS-BDCFS1-IEB-Share-FC, POWERENG\FS-BDCFS1-IEB-Share-RW"
"\\bdcfs1\PD_Scans"	"POWERENG\FS-BDCFS1-PD_Scans-Share-FC, POWERENG\FS-BDCFS1-PD_Scans-Share-RW"
"\\bdcfs1\Projects"	"POWERENG\FS-ALL-Projects-Share-FC, POWERENG\FS-ALL-Projects-Share-RW"
"\\bdcfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\bdcfs1\Shares$"	"S-1-5-21-1380516296-1705272057-1576261225-50272"
"\\bdcfs1\SQL_DB_Backups"	"POWERENG\FS-BDCFS1-SQL_DB_Backups-Share-FC, POWERENG\FS-BDCFS1-SQL_DB_Backups-Share-RW"
"\\bdcfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\bdcfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
