"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\hamfs1\Facilities"	"1052"	"4502"	"11493802823"	"0"	"0"	"4502"	"11493802823"	"4502"	"11493802823"	"4502"	"11493802823"	"4502"	"11493802823"	"4501"	"11493788760"	"4474"	"11447541722"	"4473"	"11447475674"	"3089"	"6146439268"	"904"	"1504651118"	"320"	"55987512"
"\\hamfs1\Line"	"32947"	"542348"	"3224221639254"	"3024"	"7162301064"	"539324"	"3217059338190"	"536016"	"3176508529748"	"532913"	"3134502262307"	"514594"	"2811602074897"	"409516"	"2287067002109"	"353921"	"1481265174899"	"320414"	"1080739502639"	"276182"	"699643569768"	"198557"	"505674902737"	"150649"	"283352521576"
"\\hamfs1\Projects"	"12"	"73"	"23784695"	"0"	"0"	"73"	"23784695"	"73"	"23784695"	"73"	"23784695"	"73"	"23784695"	"72"	"12053135"	"24"	"1388816"	"1"	"34592"	"1"	"34592"	"0"	"0"	"0"	"0"
"\\hamfs1\SAS"	"4"	"4"	"3498602"	"0"	"0"	"4"	"3498602"	"4"	"3498602"	"4"	"3498602"	"4"	"3498602"	"4"	"3498602"	"4"	"3498602"	"4"	"3498602"	"0"	"0"	"0"	"0"	"0"	"0"
"\\hamfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\hamfs1\Substation"	"16024"	"251776"	"328332096542"	"2"	"286173"	"251774"	"328331810369"	"251774"	"328331810369"	"251369"	"327118288762"	"251277"	"323020045146"	"251007"	"322520442681"	"244985"	"308638496952"	"189106"	"224353141298"	"131722"	"124054438105"	"95241"	"69013654913"	"64845"	"45645462636"
"\\hamfs1\Xchange"	"5"	"60"	"3183853580"	"0"	"0"	"60"	"3183853580"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
