"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\00_Project Management\07_Subcontractors\ZAP Deliverables_6-16-2020\ZAP_ H2 Pipeline Deliverables 200615.zip"	"FullControl"	"Allow"	"POWERENG\ldavidson"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\00_Project Management\07_Subcontractors\ZAP Deliverables_6-9-2020\20071 - H2 Pipeline Draft Deliverables 200609.zip"	"FullControl"	"Allow"	"POWERENG\ldavidson"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\00_Project Management\07_Subcontractors\ZAP Final Deliverables_7-10-2020\20071TRA003 - H2 Pipeline - Final FEED Deliverables 20.07.10.zip"	"FullControl"	"Allow"	"POWERENG\mdoyle"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\06_Biology\MT NHP\MT Beaverhead Co. SOC_Plant_Report_2020-05-18_08-42-54.xls"	"FullControl"	"Allow"	"POWERENG\bbainbridge"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\06_Biology\MT NHP\MT Deer Lodge Co. SOC_Animal_Report_2020-05-18_08-54-58.xls"	"FullControl"	"Allow"	"POWERENG\bbainbridge"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\06_Biology\MT NHP\MT Deer Lodge Co. SOC_Plant_Report_2020-05-18_08-44-20.xls"	"FullControl"	"Allow"	"POWERENG\bbainbridge"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\06_Biology\MT NHP\MT Madison Co. SOC_Animal_Report_2020-05-18_08-56-02.xls"	"FullControl"	"Allow"	"POWERENG\bbainbridge"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\06_Biology\MT NHP\MT Madison Co. SOC_Plant_Report_2020-05-18_08-45-23.xls"	"FullControl"	"Allow"	"POWERENG\bbainbridge"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\06_Biology\MT NHP\MT Silver Bow Co. SOC_Animal_Report_2020-05-18_08-57-06.xls"	"FullControl"	"Allow"	"POWERENG\bbainbridge"	"None"	"None"
"\\?\UNC\SLC-SMB01\Shares$\REPLICATE\Environmental\Projects\163852_MHPS - UT to MT Pipeline\06_Biology\MT NHP\MT Silver Bow Co. SOC_Plant_Report_2020-05-18_08-46-20.xls"	"FullControl"	"Allow"	"POWERENG\bbainbridge"	"None"	"None"
