"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\clkfs1\Reference"	"2060"	"193869"	"4167824378693"	"3"	"10163712"	"193866"	"4167814214981"	"192196"	"4135237471612"	"183371"	"3950769191815"	"164699"	"3578250140580"	"160707"	"3503665291019"	"121344"	"2160322406133"	"107012"	"1850320472533"	"64791"	"1168686726679"	"33710"	"589216541018"	"19647"	"305749016850"
"\\clkfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\clkfs1\Studies"	"98687"	"1366337"	"2417677338236"	"6943"	"111047839792"	"1359394"	"2306629498444"	"1348246"	"2241867976210"	"1322450"	"2099080461391"	"1176729"	"1865353802484"	"1118014"	"1685068103081"	"1050166"	"1239544339535"	"994256"	"881944172787"	"939143"	"757862096649"	"872255"	"647523788750"	"505203"	"437845382571"
"\\clkfs1\Visual_Tech"	"73986"	"984433"	"1782811541582"	"329"	"1028890483"	"984104"	"1781782651099"	"983908"	"1781614884514"	"983513"	"1778854184370"	"983047"	"1772017437648"	"979246"	"1737614388788"	"835655"	"1641129977483"	"746461"	"1283898970439"	"582342"	"759022189090"	"231488"	"210017166373"	"164295"	"148398911462"
"\\clkfs1\Xchange"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
