Office	DCName	TestHost	ServerName	DateTime	Description	Latency	SmallFileBytesRead	SmallFileReadTime	SmallFileMbps	SmallFileAverageMS	SmallFileMSStdDev	SmallFileMSVariance	MediumFileBytesRead	MediumFileReadTime	MediumFileMbps	MediumFileAverageMS	MediumFileMSStdDev	MediumFileMSVariance	LargeFileBytesRead	LargeFileReadTime	LargeFileMbps	LargeFileAverageMS	LargeFileMSStdDev	LargeFileMSVariance
MIN	DDC	47514L	DDCFS1	20230419-1241	Post SDWAN conversion	31	376840	4370.1378	0.689845524	218.50689	16.56942103	7.583019938	96469000	34631.8129	22.28448168	1731.590645	332.3516047	19.19342806	3087007740	603971.6293	40.88944037	15296.01034	614.1422216	4.015048421
MIN	SE4	47514L	SE4FS1	20230419-1252	Post SDWAN conversion	56	376840	7607.2019	0.396298145	380.360095	28.14419573	7.399355533	96469000	63364.6578	12.17953394	3168.23289	1695.558964	53.51749769	2932657353	409654.0139	57.27091162	25360.95824	6126.159542	24.15586779
MSN	CDC	47542L	CDCFS1	20230516-1839	Post SDWAN conversion	39.56	376840	6869.6394	0.438846907	343.48197	239.6627827	69.77448706	96469000	34418.4105	22.42265081	1720.920525	494.8479931	28.75484289	771751935	146144.7888	42.24588185	17090.36496	1581.220697	9.25211779
MSN	CH3	47542L	CH3FS1	20230516-1837	Post SDWAN conversion	25.36	376840	3971.0643	0.759171792	198.553215	74.40608036	37.47412519	96469000	24088.4161	32.03830409	1204.420805	554.0036948	45.99751951	771751935	90742.1766	68.03909396	25450.55532	2801.034895	11.00579087
MSN	DDC	47542L	DDCFS1	20230516-1843	Post SDWAN conversion	44.92	376840	6367.402	0.473461547	318.3701	25.05080433	7.868453831	96469000	25205.8659	30.61795231	1260.293295	407.8384391	32.36059739	771751935	75891.1266	81.35358844	20370.5411	451.8866332	2.218333971
MSN	NY7	47542L	NY7FS1	20230516-1905	Post SDWAN conversion	57.04	376840	5953.5246	0.506375669	297.67623	21.62976344	7.266204441	96469000	23002.6721	33.55053694	1150.133605	355.910983	30.94518597	617401548	58094.1875	85.02076708	45581.38248	6297.171025	13.81522605
MSN	SE4	47542L	SE4FS1	20230516-1845	Post SDWAN conversion	58.8	376840	11908.5356	0.253156232	595.42678	43.17722161	7.251474583	96469000	144187.1251	5.352433509	7209.356255	892.4950467	12.3796774	771751935	1006084.272	6.136678258	53000.15562	4197.296286	7.919403702
OPK	AT4	51274L	AT4FS1	20231004-1007	Post SDWAN conversion	31.68	376840	4449.425	0.677552717	222.47125	16.27663932	7.316288876	96469000	29674.7088	26.00706228	1483.73544	948.6819665	63.93875491	771751935	145067.0612	42.55973361	85809.74942	300.9752061	0.350747098
OPK	CDC	51274L	CDCFS1	20231004-0946	Post SDWAN conversion	36.08	376840	5027.7052	0.599621473	251.38526	17.03887411	6.777992518	96469000	36308.8522	21.25520233	1815.44261	840.4820081	46.29625874	771751935	158339.7596	38.9921994	41026.0535	1571.740427	3.831078773
OPK	CH3	51274L	CH3FS1	20231004-0943	Post SDWAN conversion	25.04	376840	3573.9407	0.843528266	178.697035	14.79655283	8.280245296	96469000	23550.1391	32.770592	1177.506955	300.9441914	25.55774215	771751935	119293.4598	51.75485304	58829.99094	309.4527073	0.526011822
OPK	DA11	51274L	DA11FS1	20231004-1005	Post SDWAN conversion	12.64	376840	2030.3939	1.484795635	101.519695	6.648212215	6.548692069	96469000	16016.219	48.1856548	800.81095	264.0105102	32.96789463	771751935	80831.7037	76.38111282	71293.4206	0	0
OPK	DDC	51274L	DDCFS1	20231004-0950	Post SDWAN conversion	36.84	376840	5165.398	0.583637505	258.2699	19.16056959	7.418816359	96469000	27202.8962	28.37021449	1360.14481	315.5360944	23.19871326	771751935	122528.2773	50.38849493	47404.94294	2512.703107	5.300508662
OPK	LAS04	51274L	LAS04FS1	20231004-1001	Post SDWAN conversion	45.76	376840	6389.5662	0.471819198	319.47831	24.18595498	7.570452898	96469000	35217.5858	21.91382466	1760.87929	603.8063627	34.29004851	771751935	158763.0652	38.88823557	15021.17182	387.6548188	2.580722885
OPK	NY7	51274L	NY7FS1	20231004-0957	Post SDWAN conversion	50.04	376840	6909.6196	0.436307666	345.48098	25.69540881	7.437575526	96469000	42637.6521	18.10024619	2131.882605	1424.584644	66.82284664	771751935	183300.569	33.68246762	23969.6101	787.1253678	3.28384719
OPK	SE4	51274L	SE4FS1	20231004-0953	Post SDWAN conversion	58.12	376840	8023.299	0.375745688	401.16495	29.83108897	7.436115485	96469000	39510.7451	19.53271187	1975.537255	524.2396235	26.53655972	771751935	159984.9604	38.59122423	22825.9875	101.2036034	0.443370099
OPK	YYC01	51274L	ADCFS1	20231004-1011	Post SDWAN conversion	80.04	376840	9938.0388	0.303351603	496.90194	36.56297524	7.358187259	96469000	56076.2141	13.76255534	2803.810705	859.6464708	30.65993254	154350387	54426.945	22.687349	25732.2916	612.8143194	2.381499203
ORA	CDC	51274L	CDCFS1	20230829-1424	Post SDWAN conversion	29.8	376840	4295.3478	0.701857018	214.76739	15.5036001	7.218786847	96469000	38494.6542	20.04829024	1924.73271	746.3046902	38.77445872	771751935	164145.2774	37.61311673	16958.57396	702.2188934	4.140789756
ORA	CH3	51274L	CH3FS1	20230829-1440	Post SDWAN conversion	26.88	376840	3724.6286	0.809401507	186.23143	13.97416166	7.503653739	96469000	40087.2098	19.2518263	2004.36049	215.0322346	10.72822158	771751935	245008.3327	25.19920613	24644.19684	1401.780255	5.688074414
ORA	DDC	51274L	DDCFS1	20230829-1428	Post SDWAN conversion	69.24	376840	9530.4754	0.316324199	476.52377	38.32974027	8.043615594	96469000	84574.9122	9.12507007	4228.74561	707.4019018	16.72840996	771751935	545275.425	11.32274663	24920.12596	369.6324604	1.483268829
ORA	NY7	51274L	NY7FS1	20230829-1422	Post SDWAN conversion	7.12	376840	1158.8244	2.601533071	57.94122	12.81297929	22.11375475	96469000	12374.679	62.3654157	618.73395	89.48747854	14.46299795	771751935	94838.9295	65.10001233	31063.43888	933.7687833	3.006005828
ORA	SE4	51274L	SE4FS1	20230829-1445	Post SDWAN conversion	83.12	376840	11467.3508	0.262895943	573.36754	41.05198049	7.159801981	96469000	77764.5846	9.924209124	3888.22923	910.0485451	23.40521845	463051161	329928.4815	11.22791604	42471.844	3749.681384	8.828628641
ORL	AT4	51285L	AT4FS1	20230801-1614	Post SDWAN conversion	18.84	376840	2433.7024	1.238738146	121.68512	8.36080985	6.870856396	96469000	14845.5522	51.98540207	742.27761	112.1024278	15.1024935	771751935	121919.0055	50.64030382	52273.76293	2559.541483	4.896417131
ORL	CDC	51285L	CDCFS1	20230801-1617	Post SDWAN conversion	40.48	376840	5082.4927	0.593157763	254.124635	9.375532394	3.689344165	96469000	42479.6217	18.16758175	2123.981085	653.4309415	30.76444259	771751935	246456.2692	25.05116019	51480.26328	2507.396342	4.870597355
ORL	CH3	51285L	CH3FS1	20230801-1628	Post SDWAN conversion	39.92	376840	5460.109	0.552135498	273.00545	20.90212805	7.656304314	96469000	61419.7091	12.56521744	3070.985455	359.9826351	11.72205601	771751935	394335.638	15.65675248	12131.05896	456.2129798	3.760702023
