"ShareName"	"Owners"
"\\houfs1\Archive"	"POWERENG\FS-HOUFS1-Archive-Share-FC, POWERENG\FS-HOUFS1-Archive-Share-RW"
"\\houfs1\Enviro"	"POWERENG\FS-HOUFS1-Enviro-Share-FC, POWERENG\FS-HOUFS1-Enviro-Share-RW"
"\\houfs1\Line"	"POWERENG\FS-HOUFS1-Line-Share-FC, POWERENG\FS-HOUFS1-Line-Share-RW"
"\\houfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\houfs1\Shares$"	"Everyone"
"\\houfs1\Substation"	"POWERENG\FS-HOUFS1-Substation-Share-FC, POWERENG\FS-HOUFS1-Substation-Share-RW"
"\\houfs1\TnDtesting"	"POWERENG\FS-HOUFS1-TnDtesting-Share-FC, POWERENG\FS-HOUFS1-TnDtesting-Share-RW"
"\\houfs1\UpdateManager"	"POWERENG\FS-ALL-UpdateManager-Share-FC, POWERENG\FS-ALL-UpdateManager-Share-RW"
"\\houfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
