"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\orafs1\Apps"	"10739"	"273115"	"133715612820"	"0"	"0"	"273115"	"133715612820"	"273113"	"133715407438"	"273110"	"133715019790"	"273110"	"133715019790"	"273110"	"133715019790"	"273110"	"133715019790"	"273110"	"133715019790"	"273109"	"133715018802"	"273108"	"133715000882"	"271298"	"132079116684"
"\\orafs1\Operations"	"6"	"4"	"153056"	"0"	"0"	"4"	"153056"	"4"	"153056"	"4"	"153056"	"4"	"153056"	"4"	"153056"	"4"	"153056"	"2"	"18944"	"1"	"0"	"1"	"0"	"0"	"0"
"\\orafs1\Printroom_Requests"	"2183"	"25632"	"145926071844"	"0"	"0"	"25632"	"145926071844"	"25632"	"145926071844"	"25632"	"145926071844"	"25632"	"145926071844"	"25632"	"145926071844"	"25632"	"145926071844"	"13398"	"53923880192"	"6948"	"24869255590"	"1107"	"1192522265"	"681"	"654334761"
"\\orafs1\Public"	"217083"	"2055525"	"3056259630732"	"33976"	"60751587453"	"2021549"	"2995508043279"	"1968317"	"2868920277527"	"1920781"	"2749659139632"	"1841701"	"2479873049179"	"1733714"	"2214128441981"	"1642441"	"2002329892598"	"1577740"	"1804154158656"	"1471512"	"1557424474584"	"1352406"	"1329460064213"	"1232782"	"1107177220023"
"\\orafs1\Restricted"	"223632"	"2400980"	"3139697736736"	"14962"	"19556678107"	"2386018"	"3120141058629"	"2359576"	"3093098805024"	"2343967"	"3052743303117"	"2330177"	"3009493696734"	"2279670"	"2940489099441"	"2224041"	"2850466300141"	"2164950"	"2721646880933"	"2037929"	"2369595409943"	"1907360"	"2214130386900"	"1737714"	"2019667251071"
"\\orafs1\Shares$"	"10"	"67"	"3266521847"	"1"	"120320"	"66"	"3266401527"	"1"	"6334530"	"1"	"6334530"	"1"	"6334530"	"1"	"6334530"	"1"	"6334530"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\orafs1\Substation"	"12847"	"172634"	"166118168776"	"114"	"782589121"	"172520"	"165335579655"	"169713"	"164664845244"	"167056"	"161708119645"	"160757"	"156194694215"	"155692"	"152303584847"	"142517"	"139560693061"	"109867"	"80822872711"	"91960"	"52805462397"	"75002"	"35733840165"	"53918"	"23837451727"
"\\orafs1\UpdateManager"	"5922"	"175026"	"29553555577"	"4013"	"4403237088"	"171013"	"25150318489"	"168857"	"17694631725"	"150851"	"11458272564"	"140210"	"10010813828"	"136576"	"7986991962"	"103853"	"7093318713"	"86378"	"5759756897"	"82588"	"5205567171"	"80772"	"4975291772"	"72602"	"4491361569"
"\\orafs1\Xchange"	"1619"	"1390"	"690672946"	"1388"	"690468146"	"2"	"204800"	"2"	"204800"	"2"	"204800"	"2"	"204800"	"2"	"204800"	"1"	"123392"	"1"	"123392"	"1"	"123392"	"1"	"123392"	"1"	"123392"
