"Path"	"FileSystemRights"	"AccessControlType"	"IdentityReference"	"InheritanceFlags"	"PropagationFlags"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-04-06.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-04-12.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-04-26.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-05-03.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-05-17.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-05-25.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-06-01.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-06-07.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-06-14.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-06-22.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021-06-29.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\149791 Gemma-Guernsey\Electrical\Cable\Cable Table Field feed back\CMPBUILD-149791_2021_04-19.mdb"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-79666"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\160434_KalinaCC\EPFC\Enerflex_Stage3\ConstructionPkgs\ZipFiles\CivilEarthworksCWP_2021-08-26.zip"	"FullControl"	"Allow"	"POWERENG\wlouer"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\160434_KalinaCC\EPFC\Enerflex_Stage3\ConstructionPkgs\ZipFiles\ElectricalCWP_2021-08-26.zip"	"FullControl"	"Allow"	"POWERENG\wlouer"	"None"	"None"
"\\?\UNC\ORA-SMB01\Shares$\REPLICATE\B&R Public\Projects\Gemma Project - Mechanical Folder\Guernsey RFI\RFI - 052\Additional Valve Questions\GUERN_PEI_M7-11MAA10BR004_PIPING ISOMETRIC - STEAM DRAINS - SHEETS 1_2_1 of 1_RA-GPS.pdf"	"FullControl"	"Allow"	"S-1-5-21-1380516296-1705272057-1576261225-42866"	"None"	"None"
