"PWPath"	"AttribName"	"TypeName"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"draw_type1"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"draw_type2"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"equip_type1"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"equip_type2"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"group_type"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"incoming_outgoing"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"interface"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"invoice_number"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"issue_date"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"log"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"percent_complete"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"photo_datetaken"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"photo_takenby"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"photo_title1"	"String"
"Active Projects\181184\Email\SCADA Points List Review Request - HOME - A_0010175_008_001_035  - Wildfire Mitigation.msg"	"photo_title2"	"String"
