"ShareName"	"Owners"
"\\bosfs1\Environmental"	"POWERENG\FS-BOSFS1-Environmental-Share-FC, POWERENG\FS-BOSFS1-Environmental-Share-RW"
"\\bosfs1\Line"	"POWERENG\FS-BOSFS1-Line-Share-FC, POWERENG\FS-BOSFS1-Line-Share-RW"
"\\bosfs1\PD_DistMgmt"	"POWERENG\FS-BOSFS1-PD_DistMgmt-Share-FC, POWERENG\FS-BOSFS1-PD_DistMgmt-Share-RW"
"\\bosfs1\Program_Management"	"POWERENG\FS-BOSFS1-Program_Management-Share-FC, POWERENG\FS-BOSFS1-Program_Management-Share-RW"
"\\bosfs1\Reference"	"POWERENG\FS-ALL-Reference-Share-FC, POWERENG\FS-ALL-Reference-Share-RW"
"\\bosfs1\Shares$"	"Everyone"
"\\bosfs1\Substation"	"POWERENG\FS-BOSFS1-Substation-Share-FC, POWERENG\FS-BOSFS1-Substation-Share-RW"
"\\bosfs1\Xchange"	"POWERENG\FS-ALL-Xchange-Share-FC, POWERENG\FS-ALL-Xchange-Share-RW"
