"ShareName"	"Directories"	"Files"	"TotalSize"	"LT1Count"	"LT1Size"	"GE1Count"	"GE1Size"	"GE2Count"	"GE2Size"	"GE3Count"	"GE3Size"	"GE4Count"	"GE4Size"	"GE5Count"	"GE5Size"	"GE6Count"	"GE6Size"	"GE7Count"	"GE7Size"	"GE8Count"	"GE8Size"	"GE9Count"	"GE9Size"	"GE10Count"	"GE10Size"
"\\birfs1\Hardy_Archive"	"2675712"	"1481056"	"2250592244896"	"22"	"350572952"	"1481034"	"2250241671944"	"1478720"	"2247792267825"	"1424453"	"2054990517413"	"1379768"	"1851252775644"	"1335538"	"1755859496718"	"1206359"	"1488575328856"	"1064475"	"1136326723889"	"947552"	"962312791245"	"793138"	"718205519505"	"673340"	"601074670929"
"\\birfs1\Projects"	"1324"	"18210"	"79022563500"	"11648"	"14974923001"	"6562"	"64047640499"	"5110"	"15749054696"	"4323"	"12984202636"	"2877"	"7007557545"	"2354"	"1701660988"	"2307"	"1660889394"	"2278"	"1658148868"	"2233"	"1657659251"	"1740"	"465587834"	"911"	"455294169"
"\\birfs1\Shares$"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"\\birfs1\Xchange"	"2"	"60"	"3183853580"	"0"	"0"	"60"	"3183853580"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
